Metin,metin_lemmatized
"Birçok traş makinesi kullandım. Gerçekten kullanışlı ve güzel bir ürün yapmışlar, çok beğendim. Ürünlere pek yorum yapmam ama bu ürünü kullandıktan sonra kendimi bir anlamda mecbur hissettim :","['birçok', '', 'makine', 'kullan', 'gerçekten', 'kullanışlı', 'güzel', 'bir', 'ürün', 'yap', 'beğen', 'ürün', 'pek', 'yorum', 'yap', 'ürün', 'kullandık', 'sonra', 'kendi', 'bir', 'anlam', 'mecbur', 'hisset']"
Olay budur. Boş yere diğer markalara para vermeyin. Tıraş sadece 2 dk sürdü. Oldukça sessiz.,"['olay', 'bu', 'boş', 'yer', 'diğer', 'marka', 'para', 'ver', 'tıraş', 'sade', '', 'sür', 'oldukça', 'sessiz']"
Ürün kullanışlı ve kesimi güzel parasinin hakkini veriyor,"['ürün', 'kullanışlı', 'kesim', 'güzel', '', 'hak', 'ver']"
Makine oldukça kaliteli. Sakal için rahatlıkla kullanıyorum. Tavsiye ederim.,"['makine', 'oldukça', 'kaliteli', 'sakal', 'rahatlık', 'kullan', 'tavsiye', 'eder']"
hasarlı gelgi geri yolladım kullanmadık ,"['hasarlı', '', 'geri', 'yolla', 'kullan']"
"Ürün 3-4 ay kadar dayanabildi sonrası hüsran, parasını çıkardı mı evet. Ama beklentiniz yüksek olmasın. Hem saç hem sakal traşı için kullanıldı. Ama belirli bir süre sonra kesim yaparken boğulmaya başladı ve kesememeye başladı.","['ürün', 'ay', 'kadar', 'dayanabil', 'sonra', 'hüsran', 'para', 'çık', 'evet', 'beklenti', 'yüksek', 'ol', 'saç', 'sakal', '', 'kullanıl', 'belirli', 'bir', 'süre', 'sonra', 'kesim', 'yap', 'boğul', 'başla', 'kesememe', 'başla']"
Ürün paketsiz şekilde geldi evime gelmedi kendim gittim aldım sanki kullanılmış gibiydi öyle geldi bana emin değilim ama ürün çalışıyor sorun yok,"['ürün', 'paketsiz', 'şekil', 'gel', 'ev', 'gel', 'kendi', 'git', 'al', 'kullanılmış', 'gibi', 'öyle', 'gel', 'bana', 'emin', 'değil', 'ürün', 'çalış', 'sorun', 'yok']"
Fiyat performans ürünü,"['fiyat', 'performans', 'ürün']"
efsane bir ürün sakal ve ense çizim için ideal saç için farklı ürünlere bakın kirli sakal ve bir numara için,"['efsane', 'bir', 'ürün', 'sakal', 'ense', 'çizim', 'ideal', 'saç', 'farklı', 'ürün', 'bak', 'kirli', 'sakal', 'bir', 'numara']"
"Ürünü çok beğendim güzel kesiyor, bu kadar beklemiyordum. Gayet başarılı. Fiyatta uygun. Şuan için güzel. Gelecekte ne olur bilemem. Fiyata göre çok iyi.","['ürün', 'beğen', 'güzel', 'kes', 'kadar', 'bekle', 'gayet', 'başarılı', 'fiyat', 'uygun', 'şua', 'güzel', 'gelecek', 'olur', 'bile', 'fiyat', 'göre', 'iyi']"
ürün güzel tavsiye ederin sıfır kesim için aldım gayet iyi,"['ürün', 'güzel', 'tavsiye', 'eder', 'sıfır', 'kesim', 'al', 'gayet', 'iyi']"
Gayet guzel goruntulu ve kaliteli urun.,"['gayet', '', '', 'kaliteli', 'ur']"
philipsin tras makinesini kullanıyordum. Bu ürün şarj ve bıçak olarak philips'ten daha kaliteli. bosuna 3 kati fazla ödeyip marka almayin. cok iyi kesiyor sıfıra yakın,"['', 'tras', 'makine', 'kullan', 'ürün', 'şarj', 'bıçak', 'olarak', '', 'kaliteli', '', 'kati', 'fazla', 'ödeyip', 'marka', '', '', 'iyi', 'kes', 'sıfır', 'yak']"
103 liraya alincaj gzl kibar makina her ise yarar. Sac kesme harici her ise yarar sakal vs,"['lira', '', '', 'kibar', '', 'yarar', 'sac', 'kes', 'haricî', 'yarar', 'sakal', '']"
süper kesiyor harika bı makina,"['süper', 'kes', 'harika', '', '']"
"Ürünü sorunsuz teslim aldım. Sipariş vermeden önce mağaza ile ilgili olumsuz yorumlar korkutmuştu ama sorunsuz bir alışveriş oldu benim için. Makinenin bıçakları çok güçlü. Çekme, koparma yok. Fiyatına göre çok güzel bir makine. Mağaza faturayı mailime atmıştı. Teşekkürler.","['ürün', 'sorunsuz', 'teslim', 'al', 'sipariş', 'vermeden', 'ön', 'mağaza', 'ilgili', 'olumsuz', 'yorum', 'korkut', 'sorunsuz', 'bir', 'alışveriş', 'oldu', 'ben', 'makine', 'bıçak', 'güçlü', 'çek', 'kopar', 'yok', 'fiyat', 'göre', 'güzel', 'bir', 'makine', 'mağaza', 'fatura', 'mail', 'at', 'teşekkür']"
İlk defa bir ürüne yorum yapıyorum ürün beklediğimden harika çıktı hiç düşünmeden alabilirsiniz,"['ilk', 'bir', 'ürün', 'yorum', 'yap', 'ürün', 'bekledik', 'harika', 'çıktı', 'düşünmeden', 'alabil']"
2 yıldır kullanıyorum yedek olsun diye aldım isyerime,"['yıl', 'kullan', 'yedek', 'ol', 'al', '']"
ÜRÜN ÇOK KULLANIŞLI VE KALİTELİ TEŞEKKÜRLER.,"['ürün', '', 'kaliteli', 'teşekkür']"
"Daha oncede powertec kullanan biri olarak soylemeliyim ki, bu model bi efsane beylerr","['', '', 'kullanan', 'olarak', '', 'model', '', 'efsane', '']"
??????????????????????,[]
ürün çok şık fakat içi boş bir ürün. biraz daha bütçe zorlayıp iyi bir makine almanızı tavsiye ederim. sıfırı çok kötü,"['ürün', 'şık', 'fakat', 'iç', 'boş', 'bir', 'ürün', 'biraz', 'bütçe', 'zorlayıp', 'iyi', 'bir', 'makine', 'alma', 'tavsiye', 'eder', 'sıfır', 'kötü']"
Ürün gelmedi ki beğenelim,"['ürün', 'gel', 'beğen']"
emsallerine göre fiyatı düşük olunca bi çekinceyle aldım ama gerçekten kaliteli ve kullanışlı. 5 yıldızı sonuna kdar hakediyor. mağaza hızı da cok iyi,"['emsal', 'göre', 'fiyat', 'düşük', 'olunca', '', 'çekince', 'al', 'gerçekten', 'kaliteli', 'kullanışlı', 'yıldız', 'son', '', 'hâket', 'mağaza', 'hız', '', 'iyi']"
ürünü henüz kullanmadım deneyince göreceğiz,"['ürün', 'henüz', 'kullan', 'deney', 'göreceğiz']"
iyi ürün teşekkürler parasına göre iyi ürün umarım çabuk bozulmaz,"['iyi', 'ürün', 'teşekkür', 'para', 'göre', 'iyi', 'ürün', 'umar', 'çabuk', 'bozul']"
Ürün güzel bu paraya bu kalite performans ama makine ilk. Geldiginde kendi yüzümde denedim kuaförüm diş çiziyordu ayarladım ürün parasına göre çok iyi güçlü,"['ürün', 'güzel', 'para', 'kalite', 'performans', 'makine', 'ilk', '', 'kendi', 'yüzüm', 'dene', 'kuaför', 'diş', 'çiz', 'ayarla', 'ürün', 'para', 'göre', 'iyi', 'güçlü']"
Güzel ve kaliteli ürün tavsiye ederim,"['güzel', 'kaliteli', 'ürün', 'tavsiye', 'eder']"
ürün parasına göre çok iyi,"['ürün', 'para', 'göre', 'iyi']"
Evet çok güzel bir makina,"['evet', 'güzel', 'bir', '']"
Eşime aldım. Çok beğendi. Saçını da sakalını da şekillendiriyor. Gayet kullanışlı,"['eşim', 'al', 'beğen', 'saçı', 'sakalı', 'şekillendir', 'gayet', 'kullanışlı']"
Ürün başarılı tafsiye ederim,"['ürün', 'başarılı', '', 'eder']"
Güzel ürün tavsiye ederim,"['güzel', 'ürün', 'tavsiye', 'eder']"
Beğendim ama daha uzun kesebilen tarak seçenekleri de olmalıydı,"['beğen', 'uzun', 'kesebilen', 'tarak', 'seçenek', 'ol']"
teşekkürler güvenilir mağaza,"['teşekkür', 'güvenilir', 'mağaza']"
Güzel ürün Harika satıcı,"['güzel', 'ürün', 'harika', 'satıcı']"
ürün güzel fiyatı da uygun fakat garanti belgesi doldurulmamis,"['ürün', 'güzel', 'fiyat', 'uygun', 'fakat', 'garanti', 'belge', '']"
daha tam olarak kullanmadım ancak beklediğim gibi,"['tam', 'olarak', 'kullan', 'ancak', 'bekledik']"
"Hızlı kargo, kaliteli ürün. Kedi ve köpek traşı için aldım. Kıt olan yerleri T uç sayesinde daha kolay kesebiliyorum.","['hızlı', 'kargo', 'kaliteli', 'ürün', 'kedi', 'köpek', '', 'al', 'kıt', 'olan', 'yer', '', 'uç', 'sayesinde', 'kolay', 'kesebil']"
"Philips kullanıyordum, tarağı kırıldı, yeni tarak fiyatı bu ürünün 1,5 katı. Yorumlar olumlu diye aldım, fiyat performans ürünü. Titreşimi philipse göre yüksek, ilk izlenimim kuruda daha iyi gibi. Bıçağın temizliği için tornavida ile açmak gerekiyor pratik değil.","['', 'kullan', 'tarak', 'kırıl', 'yeni', 'tarak', 'fiyat', 'ürün', 'katı', 'yorum', 'olumlu', 'al', 'fiyat', 'performans', 'ürün', 'titreşim', '', 'göre', 'yüksek', 'ilk', 'izlenim', 'kuru', 'iyi', 'bıçak', 'temizlik', 'tornavida', 'açmak', 'gerek', 'pratik', 'değil']"
guzel hic bir sorunu yok,"['', '', 'bir', 'sorun', 'yok']"
kaliteli kesinlikle tavsiye ederim,"['kaliteli', 'kesinlik', 'tavsiye', 'eder']"
Urun tamamen fiyat performans urunu. Piyasada daha iyi oldugunu sanmam. Highly recommended!!,"['ur', 'tamamen', 'fiyat', 'performans', 'ur', 'piyasa', 'iyi', '', 'san', '', '']"
Ürün gerçekten harika kuoförümde gördüm ve tafsiyesi üzerine aldım.kullandım harika ve KUSURSUZ.??,"['ürün', 'gerçekten', 'harika', '', 'gör', '', 'üzerine', '', 'harika', 'kusursuz']"
powertec bildiğim ve kullandığım marka bu seferki aldığım makine kutu içeriğinde 2 nolu tarak kırık geldi mağazaya konuyu ilettim fakat dönüş saglanmadi powertec süper makine ama satıcı sorumsuz,"['', 'bildik', 'kullandık', 'marka', 'sefer', 'aldık', 'makine', 'kutu', 'içeriğ', '', 'tarak', 'kırık', 'gel', 'mağaza', 'konu', 'ilet', 'fakat', 'dönüş', '', '', 'süper', 'makine', 'satıcı', 'sorumsuz']"
makine güzel kullanışlı,"['makine', 'güzel', 'kullanışlı']"
Ürün güzel ürün hakkında bir şikayetim yok,"['ürün', 'güzel', 'ürün', 'hakkında', 'bir', 'şikâyet', 'yok']"
ürün anlatıldığı gibi. teşekkür ederim.,"['ürün', 'anlatıldık', 'teşekkür', 'eder']"
Berberimin tavsiyesi ile aldım çok beğendim tavsiye ederim bundan evvel aldıklarımın çok üstünde bir makina,"['berber', 'tavsiye', 'al', 'beğen', 'tavsiye', 'eder', 'bun', 'evvel', 'aldık', 'üstün', 'bir', '']"
evet çok beğendim,"['evet', 'beğen']"
"Ne yalan söyleyeyim, bu kadar iyi bekle miyordum.","['yalan', 'söyle', 'kadar', 'iyi', 'bek', '']"
Cok guzel kullandim. Bu fiyata alınabilecek en iyilerden. Bilader e de sipariş verecem.,"['', '', '', 'fiyat', 'alınabil', 'iyi', '', 'e', 'sipariş', 'verece']"
Ürün yaklaşık 20 saatte elime ulaştı. Beklediğimden daha pratik ve daha güçlü çıktı. Tam bir fiyat performans ürünü.,"['ürün', 'yaklaşık', 'saat', 'elim', 'ulaş', 'bekledik', 'pratik', 'güçlü', 'çıktı', 'tam', 'bir', 'fiyat', 'performans', 'ürün']"
üründeki 3mm tarağı bildiğimiz 3 numaralı traş diye aldım. meğer 0 ile 1 arasında bişeymiş. bir defa neme kesimi yaptığım için iade yada değişim olmuyormuş. boşa almış oldum çöpe para attık.,"['ürün', '', 'tarak', 'bildik', 'numaralı', '', 'al', 'meğer', 'arası', '', 'bir', 'nem', 'kesim', 'yaptık', 'iade', 'yad', 'değiş', 'ol', 'boşa', 'al', 'oldu', 'çöp', 'para', 'at']"
Bana göre süper üç adet aldım,"['bana', 'göre', 'süper', 'üç', 'adet', 'al']"
Ürünü begendim ve teşekkür ederim,"['ürün', '', 'teşekkür', 'eder']"
ürünü beğendim. 3 taraklı çok kaba olmayan bir alet. sadece kutusu ezik büzük çıktı dışında bir problem yok,"['ürün', 'beğen', 'taraklı', 'kaba', 'olmayan', 'bir', 'alet', 'sade', 'kutu', 'ezik', 'büzük', 'çıktı', 'dış', 'bir', 'problem', 'yok']"
evet beğendim güzel,"['evet', 'beğen', 'güzel']"
Evet harıka ürün sıfır sakal taşı yapıyo,"['evet', '', 'ürün', 'sıfır', 'sakal', 'taşı', 'yap']"
Hayır beğenmedim,"['hayır', 'beğen']"
Başarılı makine düşünmeden alınabilir,"['başarılı', 'makine', 'düşünmeden', 'alınabil']"
n11.com üyesi 01.10.2020 Bozuk ve dezenforme olmuş ürün geldi ve iade alınmadı Bu arkadaşın yaşadıklarını aynısını bende yaşadım ve aynı şekilde sonucladı tek farkı bana BERBER mısın dıye sorulması ıdı MUMKUNSE BU FIRMADAN alışveriş YAPMAYIN muhakkak ayı olayı sizde yaşayacaksınız bu konuda eminim,"['', 'üye', 'bozuk', '', 'olmuş', 'ürün', 'gel', 'iade', 'alın', 'arkadaş', 'yaşadık', 'aynısı', 'bende', 'yaşa', 'aynı', 'şekil', '', 'tek', 'fark', 'bana', 'berber', '', '', 'sorulma', '', '', 'firma', 'alışveriş', '', 'muhakkak', 'ayı', 'olay', 'siz', 'yaşa', 'konu', 'emin']"
kullanışlı memnun Kaldım,"['kullanışlı', 'memnun', 'kal']"
Ürün bi moser değil ama fiyata göre fena değil,"['ürün', '', '', 'değil', 'fiyat', 'göre', 'fena', 'değil']"
Hayır b3?enmedim .Rezillik,"['hayır', '', 'rezillik']"
Çok seri bir cihaz. Fiyatına göre çok iyi,"['seri', 'bir', 'cihaz', 'fiyat', 'göre', 'iyi']"
Evet şık tasarım ve tatminkâr markayı zaten biliyordum saç tıraşı Makinesi vardı zaten ince dişte powertec tr658 ile tamamlandı tavsiye ederim,"['evet', 'şık', 'tasarım', '', 'marka', 'zaten', 'bile', 'saç', 'tıraş', 'makine', 'var', 'zaten', 'ince', 'diş', '', '', 'tamamlan', 'tavsiye', 'eder']"
"ürün çok güzel, temizlemesi gayet kolay, çok memnun kaldım","['ürün', 'güzel', 'temizleme', 'gayet', 'kolay', 'memnun', 'kal']"
Aldığım ürün şarj almıyordu ve üzerinde dezenformasyon vardı. Ona rağmen açıldığını bahane ederek iade almadılar ve teknik servise yönlendirdiler. Yeni alınmış bir ürün çalışmadığında ve üstüne üstlük üründe dezenformasyon olmasına rağmen niye teknik servise gitmekle uğraşıyorum anlamadım. Gönderdiğim ürünü de kabul almayıp tekrar bana gönderdiler ve kargo ücretini ben ödemek durumunda kaldım. N11 sağolsun itiraz ettiğimde aynı miktarda kupon vererek zararımı kapattı.,"['aldık', 'ürün', 'şarj', 'al', 'üzerinde', 'dezenformasyon', 'var', 'ona', 'rağmen', 'açıldık', 'bahane', 'ederek', 'iade', 'al', 'teknik', 'servis', 'yönlendir', 'yeni', 'alın', 'bir', 'ürün', 'çalışmadığında', 'üstüne', 'üstlük', 'ürün', 'dezenformasyon', 'olma', 'rağmen', 'teknik', 'servis', 'gitmek', 'uğraş', 'anla', 'gönderdik', 'ürün', 'kabul', 'almayıp', 'tekrar', 'bana', 'gönder', 'kargo', 'ücret', 'ben', 'ödemek', 'durum', 'kal', '', 'sağol', 'itiraz', 'ettik', 'aynı', 'miktar', 'kupon', 'vererek', 'zarar', 'kapat']"
Güzel ürün düşünmeden alın,"['güzel', 'ürün', 'düşünmeden', 'al']"
urunu kullanmadim ama elime ulasti cok guzel gozukuyor . urun Orta boydadir.,"['ur', '', 'elim', '', '', '', '', 'ur', 'orta', '']"
iki günde elime ulaştı teşekkür ederim.. kullanmadım umarım istediğim gibi çıkar,"['iki', 'günde', 'elim', 'ulaş', 'teşekkür', 'eder', 'kullan', 'umar', 'istedik', 'çık']"
Ürünü çok beğendim,"['ürün', 'beğen']"
İdare eder... ,"['idare', 'eder']"
Fiyatına göre oldukça güzel bir ürün. Kesinlikle tavsiye ediyorum. Paketleme ve kargo iyiydi.,"['fiyat', 'göre', 'oldukça', 'güzel', 'bir', 'ürün', 'kesinlik', 'tavsiye', 'et', 'paketle', 'kargo', 'iyi']"
Gramajı ağırlığı kaliteli duruyor ..memnun kaldım ..işimi gayet güzel görüyor ...,"['gramaj', 'ağırlık', 'kaliteli', 'dur', 'memnun', 'kal', 'iş', 'gayet', 'güzel', 'gör']"
çok güzel birebir aynı ürün güçlü motoru var dükkanım için aldım gayet güzel ve sağlam bir ürün,"['güzel', 'birebir', 'aynı', 'ürün', 'güçlü', 'motor', 'var', 'dükkân', 'al', 'gayet', 'güzel', 'sağlam', 'bir', 'ürün']"
Ben ürünü traş olduğum berberde görüp almıştım. Gayet sağlam ve kaliteli gibi duruyor. Fiyatına göre çok iyi olduğunu söyleyebilirim,"['ben', 'ürün', '', 'olduk', 'berber', 'görüp', 'al', 'gayet', 'sağlam', 'kaliteli', 'dur', 'fiyat', 'göre', 'iyi', 'olduk', 'söyleyebil']"
kullandigim üründü 3 arkadaşıma daha aldım herkez memnun tesekkurler,"['', 'ürün', 'arkadaş', 'al', '', 'memnun', '']"
"Samsung şarj cihazı bile oluyor, hem kablolu hem kablosuz jilet gibi, oldukça güzel ve güçlü.","['', 'şarj', 'cihaz', 'bile', 'ol', 'kablolu', 'kablosuz', 'jilet', 'oldukça', 'güzel', 'güçlü']"
Parasını hak eden ürün. Fiyat performans harika,"['para', 'hak', 'ede', 'ürün', 'fiyat', 'performans', 'harika']"
Ürünü daha öncede kullandım sert sakallar için birebir uyumlu ve güzel,"['ürün', 'önce', 'kullan', 'sert', 'sakal', 'birebir', 'uyumlu', 'güzel']"
Ürün güzel tavsiye ederim,"['ürün', 'güzel', 'tavsiye', 'eder']"
fiyat performans kıstasına göre gönül rahatlığıyla alabilirsiniz.,"['fiyat', 'performans', 'kıstas', 'göre', 'gönül', 'rahatlık', 'alabil']"
Ürün hakkını fazlasıyla veriyor. İnce işler için süper bir makina,"['ürün', 'hak', 'fazlasıyla', 'ver', 'ince', 'iş', 'süper', 'bir', '']"
Gerçekten ürün çok kaliteli... Almak isteyenlere tavsiye ederim.,"['gerçekten', 'ürün', 'kaliteli', 'almak', 'isteyen', 'tavsiye', 'eder']"
Gönül rahatlığıyla alın kullanın,"['gönül', 'rahatlık', 'al', 'kullan']"
ürün güzel kullanışlı beğendim geldiği gibi kullandım,"['ürün', 'güzel', 'kullanışlı', 'beğen', 'geldik', 'kullan']"
